country,count,MST 1,MST 2,MST 3,MST 4,MST 5,MST 6,MST 7,MST 8,MST 9,MST 10
Brazil,54,8.704158816154226,66.86217618178235,4.968460376104315,2.3791221786653525,5.6627420236914485,0.49680602174630273,5.32730583948211,5.599228562373887,0.0,0.0
Canada,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,817,6.558917103102493,73.23593723318326,4.089176943580013,3.663028252088758,3.566833893328547,0.6298778096588035,2.270723878690612,5.4819755693286965,0.5014189890938435,0.002110327944962647
Germany,3202,6.313435678135489,75.37616637862908,3.13542947808082,6.209139975622099,2.940909744856906,1.1112146870223376,0.5594340360999863,4.087957648473247,0.26631237308002975,0.0
India,49,15.90487226138679,81.25140470434737,1.829168741871729,0.9078582147739734,0.0031887755102040817,0.0,0.0,0.10350730210992919,0.0,0.0
Indonesia,30,12.231731822898062,82.41922762560884,3.3446547318837636,0.9075972528646598,0.19887993757029082,0.0,0.0,0.7292339303791855,0.1686746987951807,0.0
Italy,806,7.603690422347052,74.48354149215139,5.1750986243613655,4.244169699495833,2.219483142968723,0.33503666348750516,1.0718249609637531,4.580066707641622,0.2808671752322513,0.006221111350498333
Mexico,46,17.355558683155817,80.93974768177654,0.7216887255128749,0.4188184788101423,0.0,0.0,0.030253263030512578,0.5080017994022693,0.02593136831186792,0.0
Spain,227,10.209203191519824,74.52791139184481,5.016220798247661,3.710331172785805,2.097339896836847,0.21004415311136357,0.8026066427708874,2.976772920350377,0.44859088001162306,0.000978952520802741
UK,1715,5.731134565016247,63.779888992819245,3.8399464340557925,8.892740715301066,4.434244521431853,0.6645368218780909,2.4365551181383633,9.626136016613708,0.5917642898031927,0.003052524942450945
USA,701,7.4197224646175,58.25163408957583,4.327369657732346,8.039703012443649,4.1762345314944636,0.9383595261338946,3.988750070731634,12.105806582354933,0.7521893618984918,0.0002307030172473765
