brand,country,count,MST 1,MST 2,MST 3,MST 4,MST 5,MST 6,MST 7,MST 8,MST 9,MST 10
MNY,Indonesia,4,20.471664368719466,75.21848563893398,2.354393081279657,0.26595744680851063,1.3297872340425532,0.0,0.0,0.3597122302158274,0.0,0.0
MNY,Italy,83,9.762158903433336,71.05621251007345,4.690284594286972,4.680755331091062,2.007527148966902,0.35607912463063734,1.5367313548036392,5.910251032713997,0.0,0.0
MNY,Mexico,5,5.0169794330271555,93.2622196770952,0.25806451612903225,0.3870967741935484,0.0,0.0,0.0,1.075639599555061,0.0,0.0
MNY,Spain,21,18.931002761580515,65.8982970279578,3.929451970380596,3.1631196094575658,1.8902206020451526,0.58284414951623,2.109124334020366,3.495939545041775,0.0,0.0
MNY,UK,101,6.1599281865784095,50.36622651721555,3.779655083898859,8.39576027428423,10.888973863531476,2.1310962685071435,6.254674523106068,12.023685282878262,0.0,0.0
MNY,USA,65,6.133379012516233,57.80037710361436,1.9942902404011087,12.490625133219828,4.962509592904334,0.5451466092198357,9.3161678552158,6.757504452908501,0.0,0.0
NYX,France,3,6.813649887960151,85.28783437981802,0.8876378793269963,1.223970246869652,0.0,0.0,0.0,5.786907606025178,0.0,0.0
NYX,Germany,154,0.4678824763498567,66.83372747749027,4.8880200228365025,4.701870697742094,11.248662466668087,0.17227670288894778,1.6439138974528165,10.04364625857142,0.0,0.0
NYX,Italy,4,0.0,82.99682484026805,2.128623188405797,11.676747311827958,0.1736111111111111,0.0,0.0,3.024193548387097,0.0,0.0
NYX,Spain,2,4.62962962962963,44.44444444444444,0.9259259259259258,0.0,0.0,1.7857142857142856,30.357142857142854,17.857142857142858,0.0,0.0
NYX,UK,86,7.683988374149243,46.63167646138011,1.8546949279347107,3.9292119420068596,7.061322260632252,1.0560792242392638,8.271973435370272,23.511053374287282,0.0,0.0
NYX,USA,37,23.75074489204924,39.96668642659788,1.8589760206497599,3.191282415234979,1.123606974341445,4.85477342173212,15.156236393266319,10.097693456128258,0.0,0.0
OAP,Brazil,14,17.538720838085048,46.81488458368226,0.26862032708687816,0.23669741869350483,11.531633469225918,0.432205285620151,17.79414427406619,5.383093803540063,0.0,0.0
OAP,France,142,10.054376101516437,66.80926538863002,3.136047053415188,2.311835539333732,9.957315290781697,1.6850077002902637,0.6618314689714768,4.298832922842649,1.0854885342185265,0.0
